Country,Year,Share_85_plus
Austria,2010,2.2
Austria,2011,2.3
Austria,2012,2.4
Austria,2013,2.4
Austria,2014,2.5
Austria,2015,2.5
Austria,2016,2.5
Austria,2017,2.5
Austria,2018,2.5
Austria,2019,2.6
Austria,2020,2.5
Austria,2021,2.5
Austria,2022,2.5
Austria,2023,2.4
Austria,2024,2.5
Belgium,2010,2.2
Belgium,2011,2.3
Belgium,2012,2.3
Belgium,2013,2.4
Belgium,2014,2.5
Belgium,2015,2.6
Belgium,2016,2.6
Belgium,2017,2.7
Belgium,2018,2.8
Belgium,2019,2.9
Belgium,2020,2.9
Belgium,2021,2.9
Belgium,2022,2.9
Belgium,2023,2.9
Belgium,2024,3
Bulgaria,2010,1.4
Bulgaria,2011,1.5
Bulgaria,2012,1.6
Bulgaria,2013,1.6
Bulgaria,2014,1.7
Bulgaria,2015,1.8
Bulgaria,2016,1.8
Bulgaria,2017,1.9
Bulgaria,2018,2
Bulgaria,2019,2
Bulgaria,2020,2.1
Bulgaria,2021,2.1
Bulgaria,2022,2.2
Bulgaria,2023,2.2
Bulgaria,2024,2.2
Croatia,2010,1.3
Croatia,2011,1.4
Croatia,2012,1.5
Croatia,2013,1.6
Croatia,2014,1.7
Croatia,2015,1.8
Croatia,2016,1.9
Croatia,2017,2
Croatia,2018,2.1
Croatia,2019,2.2
Croatia,2020,2.3
Croatia,2021,2.3
Croatia,2022,2.4
Croatia,2023,2.4
Croatia,2024,2.4
Cyprus,2010,1.2
Cyprus,2011,1.2
Cyprus,2012,1.2
Cyprus,2013,1.3
Cyprus,2014,1.3
Cyprus,2015,1.4
Cyprus,2016,1.4
Cyprus,2017,1.5
Cyprus,2018,1.5
Cyprus,2019,1.6
Cyprus,2020,1.7
Cyprus,2021,1.7
Cyprus,2022,1.8
Cyprus,2023,1.8
Cyprus,2024,1.8
Czechia,2010,1.4
Czechia,2011,1.5
Czechia,2012,1.5
Czechia,2013,1.6
Czechia,2014,1.7
Czechia,2015,1.7
Czechia,2016,1.8
Czechia,2017,1.8
Czechia,2018,1.9
Czechia,2019,1.9
Czechia,2020,1.9
Czechia,2021,1.9
Czechia,2022,1.9
Czechia,2023,1.8
Czechia,2024,1.9
Denmark,2010,2
Denmark,2011,2
Denmark,2012,2
Denmark,2013,2
Denmark,2014,2.1
Denmark,2015,2.1
Denmark,2016,2.1
Denmark,2017,2.1
Denmark,2018,2.1
Denmark,2019,2.1
Denmark,2020,2.1
Denmark,2021,2.2
Denmark,2022,2.2
Denmark,2023,2.3
Denmark,2024,2.4
Estonia,2010,1.5
Estonia,2011,1.6
Estonia,2012,1.8
Estonia,2013,1.9
Estonia,2014,2.1
Estonia,2015,2.2
Estonia,2016,2.3
Estonia,2017,2.4
Estonia,2018,2.5
Estonia,2019,2.6
Estonia,2020,2.6
Estonia,2021,2.7
Estonia,2022,2.7
Estonia,2023,2.8
Estonia,2024,2.9
Finland,2010,2
Finland,2011,2.1
Finland,2012,2.2
Finland,2013,2.3
Finland,2014,2.4
Finland,2015,2.4
Finland,2016,2.5
Finland,2017,2.6
Finland,2018,2.7
Finland,2019,2.7
Finland,2020,2.7
Finland,2021,2.8
Finland,2022,2.8
Finland,2023,2.9
Finland,2024,2.9
France,2010,2.5
France,2011,2.6
France,2012,2.7
France,2013,2.8
France,2014,2.9
France,2015,3
France,2016,3
France,2017,3.2
France,2018,3.2
France,2019,3.3
France,2020,3.3
France,2021,3.3
France,2022,3.3
France,2023,3.3
France,2024,3.4
Germany,2010,2.3
Germany,2011,2.3
Germany,2012,2.4
Germany,2013,2.5
Germany,2014,2.6
Germany,2015,2.6
Germany,2016,2.7
Germany,2017,2.7
Germany,2018,2.7
Germany,2019,2.7
Germany,2020,2.9
Germany,2021,3
Germany,2022,3.2
Germany,2023,3.2
Germany,2024,3.4
Greece,2010,1.9
Greece,2011,2.1
Greece,2012,2.2
Greece,2013,2.4
Greece,2014,2.6
Greece,2015,2.8
Greece,2016,3
Greece,2017,3.1
Greece,2018,3.3
Greece,2019,3.4
Greece,2020,3.5
Greece,2021,3.6
Greece,2022,3.7
Greece,2023,3.8
Greece,2024,NA
Hungary,2010,1.6
Hungary,2011,1.7
Hungary,2012,1.7
Hungary,2013,1.7
Hungary,2014,1.7
Hungary,2015,1.8
Hungary,2016,1.8
Hungary,2017,1.9
Hungary,2018,1.9
Hungary,2019,1.9
Hungary,2020,1.9
Hungary,2021,2
Hungary,2022,2
Hungary,2023,1.9
Hungary,2024,1.9
Ireland,2010,1.2
Ireland,2011,1.3
Ireland,2012,1.3
Ireland,2013,1.3
Ireland,2014,1.3
Ireland,2015,1.4
Ireland,2016,1.4
Ireland,2017,1.4
Ireland,2018,1.5
Ireland,2019,1.5
Ireland,2020,1.5
Ireland,2021,1.5
Ireland,2022,1.6
Ireland,2023,1.7
Ireland,2024,1.7
Italy,2010,2.6
Italy,2011,2.7
Italy,2012,2.8
Italy,2013,2.9
Italy,2014,3.1
Italy,2015,3.2
Italy,2016,3.3
Italy,2017,3.4
Italy,2018,3.5
Italy,2019,3.6
Italy,2020,3.7
Italy,2021,3.7
Italy,2022,3.8
Italy,2023,3.8
Italy,2024,3.9
Latvia,2010,1.4
Latvia,2011,1.6
Latvia,2012,1.7
Latvia,2013,1.9
Latvia,2014,2
Latvia,2015,2.1
Latvia,2016,2.2
Latvia,2017,2.3
Latvia,2018,2.4
Latvia,2019,2.4
Latvia,2020,2.5
Latvia,2021,2.5
Latvia,2022,2.6
Latvia,2023,2.6
Latvia,2024,2.8
Lithuania,2010,1.5
Lithuania,2011,1.6
Lithuania,2012,1.8
Lithuania,2013,1.9
Lithuania,2014,2
Lithuania,2015,2
Lithuania,2016,2.1
Lithuania,2017,2.2
Lithuania,2018,2.3
Lithuania,2019,2.4
Lithuania,2020,2.4
Lithuania,2021,2.6
Lithuania,2022,2.6
Lithuania,2023,2.6
Lithuania,2024,2.6
Luxembourg,2010,1.5
Luxembourg,2011,1.5
Luxembourg,2012,1.7
Luxembourg,2013,1.7
Luxembourg,2014,1.8
Luxembourg,2015,1.8
Luxembourg,2016,1.9
Luxembourg,2017,1.9
Luxembourg,2018,2
Luxembourg,2019,2
Luxembourg,2020,2
Luxembourg,2021,1.9
Luxembourg,2022,2
Luxembourg,2023,2
Luxembourg,2024,2
Malta,2010,1.4
Malta,2011,1.5
Malta,2012,1.6
Malta,2013,1.6
Malta,2014,1.6
Malta,2015,1.7
Malta,2016,1.7
Malta,2017,1.8
Malta,2018,1.8
Malta,2019,1.8
Malta,2020,1.8
Malta,2021,1.9
Malta,2022,2
Malta,2023,2
Malta,2024,2
Netherlands,2010,1.8
Netherlands,2011,1.8
Netherlands,2012,1.9
Netherlands,2013,1.9
Netherlands,2014,2
Netherlands,2015,2
Netherlands,2016,2.1
Netherlands,2017,2.1
Netherlands,2018,2.2
Netherlands,2019,2.2
Netherlands,2020,2.2
Netherlands,2021,2.2
Netherlands,2022,2.2
Netherlands,2023,2.3
Netherlands,2024,2.3
Poland,2010,1.3
Poland,2011,1.4
Poland,2012,1.5
Poland,2013,1.5
Poland,2014,1.6
Poland,2015,1.7
Poland,2016,1.9
Poland,2017,2
Poland,2018,2
Poland,2019,2.1
Poland,2020,2.1
Poland,2021,2.1
Poland,2022,2.1
Poland,2023,2.2
Poland,2024,2.2
Portugal,2010,2
Portugal,2011,2.1
Portugal,2012,2.4
Portugal,2013,2.5
Portugal,2014,2.6
Portugal,2015,2.8
Portugal,2016,2.9
Portugal,2017,3
Portugal,2018,3.1
Portugal,2019,3.2
Portugal,2020,3.3
Portugal,2021,3.4
Portugal,2022,3.5
Portugal,2023,3.5
Portugal,2024,3.6
Romania,2010,1.3
Romania,2011,1.3
Romania,2012,1.3
Romania,2013,1.4
Romania,2014,1.5
Romania,2015,1.6
Romania,2016,1.7
Romania,2017,1.8
Romania,2018,1.9
Romania,2019,2
Romania,2020,2.1
Romania,2021,2.1
Romania,2022,1.9
Romania,2023,1.9
Romania,2024,2
Slovakia,2010,1.1
Slovakia,2011,1.1
Slovakia,2012,1.2
Slovakia,2013,1.2
Slovakia,2014,1.2
Slovakia,2015,1.3
Slovakia,2016,1.4
Slovakia,2017,1.4
Slovakia,2018,1.5
Slovakia,2019,1.5
Slovakia,2020,1.5
Slovakia,2021,1.6
Slovakia,2022,1.5
Slovakia,2023,1.5
Slovakia,2024,1.5
Slovenia,2010,1.5
Slovenia,2011,1.7
Slovenia,2012,1.8
Slovenia,2013,1.9
Slovenia,2014,2
Slovenia,2015,2.1
Slovenia,2016,2.2
Slovenia,2017,2.3
Slovenia,2018,2.4
Slovenia,2019,2.5
Slovenia,2020,2.6
Slovenia,2021,2.6
Slovenia,2022,2.7
Slovenia,2023,2.7
Slovenia,2024,2.8
Spain,2010,2.2
Spain,2011,2.3
Spain,2012,2.4
Spain,2013,2.5
Spain,2014,2.7
Spain,2015,2.8
Spain,2016,2.9
Spain,2017,3
Spain,2018,3.1
Spain,2019,3.2
Spain,2020,3.3
Spain,2021,3.3
Spain,2022,3.4
Spain,2023,3.3
Spain,2024,3.3
Sweden,2010,2.7
Sweden,2011,2.7
Sweden,2012,2.7
Sweden,2013,2.6
Sweden,2014,2.6
Sweden,2015,2.6
Sweden,2016,2.6
Sweden,2017,2.6
Sweden,2018,2.6
Sweden,2019,2.5
Sweden,2020,2.5
Sweden,2021,2.5
Sweden,2022,2.6
Sweden,2023,2.6
Sweden,2024,2.7
Switzerland,2010,2.3
Switzerland,2011,2.3
Switzerland,2012,2.3
Switzerland,2013,2.4
Switzerland,2014,2.4
Switzerland,2015,2.4
Switzerland,2016,2.5
Switzerland,2017,2.5
Switzerland,2018,2.6
Switzerland,2019,2.6
Switzerland,2020,2.7
Switzerland,2021,2.7
Switzerland,2022,2.7
Switzerland,2023,2.7
Switzerland,2024,2.7
